100,5000,0
50,5000,0
25,5000,0
12.5,5000,0
6.2,5000,0
3.1,5000,0
1.6,5000,0
0.8,5000,0
0.4,5000,0
0,5000,0
100,2500,0
50,2500,0
25,2500,0
12.5,2500,0
6.2,2500,0
3.1,2500,0
1.6,2500,0
0.8,2500,0
0.4,2500,0
0,2500,0
100,1250,0
50,1250,0
25,1250,0
12.5,1250,0
6.2,1250,0
3.1,1250,0
1.6,1250,0
0.8,1250,0
0.4,1250,0
0,1250,0.379661
100,625,0
50,625,0
25,625,0
12.5,625,0
6.2,625,0
3.1,625,0.332596
1.6,625,3.934673
0.8,625,7.597935
0.4,625,13.198726
0,625,19.72043
100,312.5,1.011908
50,312.5,1.098194
25,312.5,1.844966
12.5,312.5,3.314978
6.2,312.5,5.114448
3.1,312.5,9.442902
1.6,312.5,17.37971
0.8,312.5,24.638773
0.4,312.5,33.985973
0,312.5,39.602455
100,156.2,11.358466
50,156.2,4.626536
25,156.2,7.268477
12.5,156.2,8.412168
6.2,156.2,11.808726
3.1,156.2,19.35332
1.6,156.2,26.284494
0.8,156.2,43.483788
0.4,156.2,58.403538
0,156.2,83.16468
100,78.1,21.298693
50,78.1,15.049968
25,78.1,18.874823
12.5,78.1,23.025995
6.2,78.1,25.358873
3.1,78.1,24.645048
1.6,78.1,44.25566
0.8,78.1,53.0318
0.4,78.1,70.77391
0,78.1,74.266174
100,39.1,18.997192
50,39.1,22.491018
25,39.1,18.710093
12.5,39.1,20.531527
6.2,39.1,31.180874
3.1,39.1,34.41427
1.6,39.1,44.152115
0.8,39.1,70.938644
0.4,39.1,82.91053
0,39.1,88.96001
100,19.5,22.941278
50,19.5,21.854067
25,19.5,17.93665
12.5,19.5,23.46841
6.2,19.5,30.96437
3.1,19.5,32.12532
1.6,19.5,51.56022
0.8,19.5,63.276382
0.4,19.5,95.60565
0,19.5,92.74407
100,0,22.503569
50,0,22.859697
25,0,30.060715
12.5,0,32.15199
6.2,0,36.547905
3.1,0,33.099575
1.6,0,49.87214
0.8,0,71.148865
0.4,0,96.10769
0,0,92.84919
